step,latitude,longitude,time,heightAboveGround,valid_time,u10,v10
0 days 03:00:00,46.0,358.75,2025-06-04,10.0,2025-06-04 03:00:00,2.725,1.8999996
0 days 03:00:00,46.0,359.0,2025-06-04,10.0,2025-06-04 03:00:00,0.099999994,2.6499996
0 days 03:00:00,46.0,359.25,2025-06-04,10.0,2025-06-04 03:00:00,0.5375,2.7749996
0 days 03:00:00,46.0,359.5,2025-06-04,10.0,2025-06-04 03:00:00,0.225,2.7749996
0 days 03:00:00,46.0,359.75,2025-06-04,10.0,2025-06-04 03:00:00,0.6625,2.0249996
0 days 03:00:00,46.0,360.0,2025-06-04,10.0,2025-06-04 03:00:00,0.6625,1.5874996
0 days 03:00:00,46.25,0.25,2025-06-04,10.0,2025-06-04 03:00:00,6.475,-0.8500004
0 days 03:00:00,46.25,354.25,2025-06-04,10.0,2025-06-04 03:00:00,5.975,-1.2250004
0 days 03:00:00,46.25,354.5,2025-06-04,10.0,2025-06-04 03:00:00,6.1,-1.7250004
0 days 03:00:00,46.25,354.75,2025-06-04,10.0,2025-06-04 03:00:00,6.4125,-2.2875004
0 days 03:00:00,46.25,355.0,2025-06-04,10.0,2025-06-04 03:00:00,6.9125,-2.5375004
0 days 03:00:00,46.25,355.25,2025-06-04,10.0,2025-06-04 03:00:00,7.6625,-2.2250004
0 days 03:00:00,46.25,355.5,2025-06-04,10.0,2025-06-04 03:00:00,6.85,-1.8500004
0 days 03:00:00,46.25,355.75,2025-06-04,10.0,2025-06-04 03:00:00,5.475,-2.4750004
0 days 03:00:00,46.25,356.0,2025-06-04,10.0,2025-06-04 03:00:00,4.975,-3.7875004
0 days 03:00:00,46.25,356.25,2025-06-04,10.0,2025-06-04 03:00:00,5.475,-4.3500004
0 days 03:00:00,46.25,356.5,2025-06-04,10.0,2025-06-04 03:00:00,6.225,-4.8500004
0 days 03:00:00,46.25,356.75,2025-06-04,10.0,2025-06-04 03:00:00,6.1625,-4.2875004
0 days 03:00:00,46.25,357.0,2025-06-04,10.0,2025-06-04 03:00:00,4.2875,-4.9750004
0 days 03:00:00,46.25,357.25,2025-06-04,10.0,2025-06-04 03:00:00,4.1625,-4.7250004
0 days 03:00:00,46.25,357.5,2025-06-04,10.0,2025-06-04 03:00:00,7.7875,3.6499996
0 days 03:00:00,46.25,357.75,2025-06-04,10.0,2025-06-04 03:00:00,8.225,6.7124996
0 days 03:00:00,46.25,358.0,2025-06-04,10.0,2025-06-04 03:00:00,7.225,5.2749996
0 days 03:00:00,46.25,358.25,2025-06-04,10.0,2025-06-04 03:00:00,7.35,4.5249996
0 days 03:00:00,46.25,358.5,2025-06-04,10.0,2025-06-04 03:00:00,5.725,4.0874996
0 days 03:00:00,46.25,358.75,2025-06-04,10.0,2025-06-04 03:00:00,2.6625,2.5249996
0 days 03:00:00,46.25,359.0,2025-06-04,10.0,2025-06-04 03:00:00,0.6625,2.7749996
0 days 03:00:00,46.25,359.25,2025-06-04,10.0,2025-06-04 03:00:00,0.4125,3.0249996
0 days 03:00:00,46.25,359.5,2025-06-04,10.0,2025-06-04 03:00:00,0.7875,2.7749996
0 days 03:00:00,46.25,359.75,2025-06-04,10.0,2025-06-04 03:00:00,1.1,2.5249996
0 days 03:00:00,46.25,360.0,2025-06-04,10.0,2025-06-04 03:00:00,0.6,2.3999996
0 days 03:00:00,46.5,0.25,2025-06-04,10.0,2025-06-04 03:00:00,7.0375,0.27499962
0 days 03:00:00,46.5,354.25,2025-06-04,10.0,2025-06-04 03:00:00,6.9125,-0.28750038
0 days 03:00:00,46.5,354.5,2025-06-04,10.0,2025-06-04 03:00:00,6.5375,-0.47500038
0 days 03:00:00,46.5,354.75,2025-06-04,10.0,2025-06-04 03:00:00,6.4125,-0.9125004
0 days 03:00:00,46.5,355.0,2025-06-04,10.0,2025-06-04 03:00:00,6.85,-1.4750004
0 days 03:00:00,46.5,355.25,2025-06-04,10.0,2025-06-04 03:00:00,6.725,-2.2250004
0 days 03:00:00,46.5,355.5,2025-06-04,10.0,2025-06-04 03:00:00,7.2875,-2.4750004
0 days 03:00:00,46.5,355.75,2025-06-04,10.0,2025-06-04 03:00:00,7.4125,-2.7250004
0 days 03:00:00,46.5,356.0,2025-06-04,10.0,2025-06-04 03:00:00,7.35,-2.6000004
0 days 03:00:00,46.5,356.25,2025-06-04,10.0,2025-06-04 03:00:00,7.225,-2.9750004
0 days 03:00:00,46.5,356.5,2025-06-04,10.0,2025-06-04 03:00:00,7.225,-3.7250004
0 days 03:00:00,46.5,356.75,2025-06-04,10.0,2025-06-04 03:00:00,6.35,-4.6625004
0 days 03:00:00,46.5,357.0,2025-06-04,10.0,2025-06-04 03:00:00,6.0375,-4.1625004
0 days 03:00:00,46.5,357.25,2025-06-04,10.0,2025-06-04 03:00:00,4.0375,-4.3500004
0 days 03:00:00,46.5,357.5,2025-06-04,10.0,2025-06-04 03:00:00,3.6,-5.0375004
0 days 03:00:00,46.5,357.75,2025-06-04,10.0,2025-06-04 03:00:00,7.85,2.0249996
0 days 03:00:00,46.5,358.0,2025-06-04,10.0,2025-06-04 03:00:00,5.6625,5.7749996
0 days 03:00:00,46.5,358.25,2025-06-04,10.0,2025-06-04 03:00:00,3.475,3.5874996
0 days 03:00:00,46.5,358.5,2025-06-04,10.0,2025-06-04 03:00:00,3.2875,3.0249996
0 days 03:00:00,46.5,358.75,2025-06-04,10.0,2025-06-04 03:00:00,1.85,2.3374996
0 days 03:00:00,46.5,359.0,2025-06-04,10.0,2025-06-04 03:00:00,0.6625,2.0874996
0 days 03:00:00,46.5,359.25,2025-06-04,10.0,2025-06-04 03:00:00,0.7875,2.3999996
0 days 03:00:00,46.5,359.5,2025-06-04,10.0,2025-06-04 03:00:00,1.475,2.7749996
0 days 03:00:00,46.5,359.75,2025-06-04,10.0,2025-06-04 03:00:00,1.475,2.6499996
0 days 03:00:00,46.5,360.0,2025-06-04,10.0,2025-06-04 03:00:00,0.6625,2.1499996
0 days 03:00:00,46.75,0.25,2025-06-04,10.0,2025-06-04 03:00:00,6.6625,0.14999962
0 days 03:00:00,46.75,354.25,2025-06-04,10.0,2025-06-04 03:00:00,6.4125,-0.22500038
0 days 03:00:00,46.75,354.5,2025-06-04,10.0,2025-06-04 03:00:00,6.1625,-0.5375004
0 days 03:00:00,46.75,354.75,2025-06-04,10.0,2025-06-04 03:00:00,6.4125,-0.7250004
0 days 03:00:00,46.75,355.0,2025-06-04,10.0,2025-06-04 03:00:00,6.475,-1.1000004
0 days 03:00:00,46.75,355.25,2025-06-04,10.0,2025-06-04 03:00:00,6.85,-1.1625004
0 days 03:00:00,46.75,355.5,2025-06-04,10.0,2025-06-04 03:00:00,7.35,-1.7250004
0 days 03:00:00,46.75,355.75,2025-06-04,10.0,2025-06-04 03:00:00,7.35,-2.2875004
0 days 03:00:00,46.75,356.0,2025-06-04,10.0,2025-06-04 03:00:00,7.35,-2.2875004
0 days 03:00:00,46.75,356.25,2025-06-04,10.0,2025-06-04 03:00:00,7.6,-1.9750004
0 days 03:00:00,46.75,356.5,2025-06-04,10.0,2025-06-04 03:00:00,7.725,-1.9125004
0 days 03:00:00,46.75,356.75,2025-06-04,10.0,2025-06-04 03:00:00,6.4125,-2.9125004
0 days 03:00:00,46.75,357.0,2025-06-04,10.0,2025-06-04 03:00:00,3.9125,-4.2875004
0 days 03:00:00,46.75,357.25,2025-06-04,10.0,2025-06-04 03:00:00,4.0375,-4.7250004
0 days 03:00:00,46.75,357.5,2025-06-04,10.0,2025-06-04 03:00:00,3.7875,-3.7875004
0 days 03:00:00,46.75,357.75,2025-06-04,10.0,2025-06-04 03:00:00,2.4125,-3.7250004
0 days 03:00:00,46.75,358.0,2025-06-04,10.0,2025-06-04 03:00:00,3.225,1.7749996
0 days 03:00:00,46.75,358.25,2025-06-04,10.0,2025-06-04 03:00:00,3.475,4.2124996
0 days 03:00:00,46.75,358.5,2025-06-04,10.0,2025-06-04 03:00:00,2.5375,3.5874996
0 days 03:00:00,46.75,358.75,2025-06-04,10.0,2025-06-04 03:00:00,1.6,3.2749996
0 days 03:00:00,46.75,359.0,2025-06-04,10.0,2025-06-04 03:00:00,2.35,3.5249996
0 days 03:00:00,46.75,359.25,2025-06-04,10.0,2025-06-04 03:00:00,2.475,3.5249996
0 days 03:00:00,46.75,359.5,2025-06-04,10.0,2025-06-04 03:00:00,1.725,3.2749996
0 days 03:00:00,46.75,359.75,2025-06-04,10.0,2025-06-04 03:00:00,0.85,2.9624996
0 days 03:00:00,46.75,360.0,2025-06-04,10.0,2025-06-04 03:00:00,0.725,2.7124996
0 days 03:00:00,47.0,0.25,2025-06-04,10.0,2025-06-04 03:00:00,6.9125,0.7124996
0 days 03:00:00,47.0,354.25,2025-06-04,10.0,2025-06-04 03:00:00,6.475,0.6499996
0 days 03:00:00,47.0,354.5,2025-06-04,10.0,2025-06-04 03:00:00,6.225,0.21249962
0 days 03:00:00,47.0,354.75,2025-06-04,10.0,2025-06-04 03:00:00,6.0375,-0.47500038
0 days 03:00:00,47.0,355.0,2025-06-04,10.0,2025-06-04 03:00:00,6.1625,-0.7250004
0 days 03:00:00,47.0,355.25,2025-06-04,10.0,2025-06-04 03:00:00,6.725,-1.2250004
0 days 03:00:00,47.0,355.5,2025-06-04,10.0,2025-06-04 03:00:00,7.4125,-1.9125004
0 days 03:00:00,47.0,355.75,2025-06-04,10.0,2025-06-04 03:00:00,7.225,-1.8500004
0 days 03:00:00,47.0,356.0,2025-06-04,10.0,2025-06-04 03:00:00,6.725,-1.7875004
0 days 03:00:00,47.0,356.25,2025-06-04,10.0,2025-06-04 03:00:00,6.225,-1.9125004
0 days 03:00:00,47.0,356.5,2025-06-04,10.0,2025-06-04 03:00:00,6.6,-1.8500004
0 days 03:00:00,47.0,356.75,2025-06-04,10.0,2025-06-04 03:00:00,5.475,-2.4125004
0 days 03:00:00,47.0,357.0,2025-06-04,10.0,2025-06-04 03:00:00,4.225,-4.3500004
0 days 03:00:00,47.0,357.25,2025-06-04,10.0,2025-06-04 03:00:00,3.7875,-4.2250004
0 days 03:00:00,47.0,357.5,2025-06-04,10.0,2025-06-04 03:00:00,4.0375,-4.2875004
0 days 03:00:00,47.0,357.75,2025-06-04,10.0,2025-06-04 03:00:00,3.225,-2.7250004
0 days 03:00:00,47.0,358.0,2025-06-04,10.0,2025-06-04 03:00:00,2.6625,-1.4125004
0 days 03:00:00,47.0,358.25,2025-06-04,10.0,2025-06-04 03:00:00,3.225,2.0249996
0 days 03:00:00,47.0,358.5,2025-06-04,10.0,2025-06-04 03:00:00,2.6,4.0249996
0 days 03:00:00,47.0,358.75,2025-06-04,10.0,2025-06-04 03:00:00,2.225,4.1499996
0 days 03:00:00,47.0,359.0,2025-06-04,10.0,2025-06-04 03:00:00,2.975,3.5249996
0 days 03:00:00,47.0,359.25,2025-06-04,10.0,2025-06-04 03:00:00,2.5375,3.3374996
0 days 03:00:00,47.0,359.5,2025-06-04,10.0,2025-06-04 03:00:00,1.4125,3.0249996
0 days 03:00:00,47.0,359.75,2025-06-04,10.0,2025-06-04 03:00:00,0.6,3.0249996
0 days 03:00:00,47.0,360.0,2025-06-04,10.0,2025-06-04 03:00:00,0.975,3.2124996
0 days 03:00:00,47.25,0.25,2025-06-04,10.0,2025-06-04 03:00:00,6.975,1.6499996
0 days 03:00:00,47.25,354.25,2025-06-04,10.0,2025-06-04 03:00:00,6.975,1.5249996
0 days 03:00:00,47.25,354.5,2025-06-04,10.0,2025-06-04 03:00:00,6.35,1.4624996
0 days 03:00:00,47.25,354.75,2025-06-04,10.0,2025-06-04 03:00:00,6.35,1.0249996
0 days 03:00:00,47.25,355.0,2025-06-04,10.0,2025-06-04 03:00:00,6.9125,0.14999962
0 days 03:00:00,47.25,355.25,2025-06-04,10.0,2025-06-04 03:00:00,7.1625,-0.7875004
0 days 03:00:00,47.25,355.5,2025-06-04,10.0,2025-06-04 03:00:00,7.1625,-1.5375004
0 days 03:00:00,47.25,355.75,2025-06-04,10.0,2025-06-04 03:00:00,7.225,-1.9750004
0 days 03:00:00,47.25,356.0,2025-06-04,10.0,2025-06-04 03:00:00,6.475,-2.1625004
0 days 03:00:00,47.25,356.25,2025-06-04,10.0,2025-06-04 03:00:00,5.85,-2.4125004
0 days 03:00:00,47.25,356.5,2025-06-04,10.0,2025-06-04 03:00:00,4.975,-2.6625004
0 days 03:00:00,47.25,356.75,2025-06-04,10.0,2025-06-04 03:00:00,4.1,-3.4125004
0 days 03:00:00,47.25,357.0,2025-06-04,10.0,2025-06-04 03:00:00,3.9125,-3.8500004
0 days 03:00:00,47.25,357.25,2025-06-04,10.0,2025-06-04 03:00:00,3.475,-3.9125004
0 days 03:00:00,47.25,357.5,2025-06-04,10.0,2025-06-04 03:00:00,2.475,-2.4750004
0 days 03:00:00,47.25,357.75,2025-06-04,10.0,2025-06-04 03:00:00,2.1625,-1.4750004
0 days 03:00:00,47.25,358.0,2025-06-04,10.0,2025-06-04 03:00:00,2.725,-1.2875004
0 days 03:00:00,47.25,358.25,2025-06-04,10.0,2025-06-04 03:00:00,2.975,0.08749962
0 days 03:00:00,47.25,358.5,2025-06-04,10.0,2025-06-04 03:00:00,3.2875,3.0249996
0 days 03:00:00,47.25,358.75,2025-06-04,10.0,2025-06-04 03:00:00,2.725,4.0249996
0 days 03:00:00,47.25,359.0,2025-06-04,10.0,2025-06-04 03:00:00,2.9125,3.8999996
0 days 03:00:00,47.25,359.25,2025-06-04,10.0,2025-06-04 03:00:00,1.725,3.4624996
0 days 03:00:00,47.25,359.5,2025-06-04,10.0,2025-06-04 03:00:00,0.9125,3.2124996
0 days 03:00:00,47.25,359.75,2025-06-04,10.0,2025-06-04 03:00:00,0.9125,3.0874996
0 days 03:00:00,47.25,360.0,2025-06-04,10.0,2025-06-04 03:00:00,0.7875,2.8999996
0 days 03:00:00,47.5,0.25,2025-06-04,10.0,2025-06-04 03:00:00,6.975,1.5249996
0 days 03:00:00,47.5,354.25,2025-06-04,10.0,2025-06-04 03:00:00,6.975,1.3999996
0 days 03:00:00,47.5,354.5,2025-06-04,10.0,2025-06-04 03:00:00,7.1625,1.2124996
0 days 03:00:00,47.5,354.75,2025-06-04,10.0,2025-06-04 03:00:00,6.475,0.7749996
0 days 03:00:00,47.5,355.0,2025-06-04,10.0,2025-06-04 03:00:00,6.6625,0.27499962
0 days 03:00:00,47.5,355.25,2025-06-04,10.0,2025-06-04 03:00:00,6.7875,-0.41250038
0 days 03:00:00,47.5,355.5,2025-06-04,10.0,2025-06-04 03:00:00,6.85,-0.7875004
0 days 03:00:00,47.5,355.75,2025-06-04,10.0,2025-06-04 03:00:00,6.475,-1.3500004
0 days 03:00:00,47.5,356.0,2025-06-04,10.0,2025-06-04 03:00:00,6.2875,-1.7250004
0 days 03:00:00,47.5,356.25,2025-06-04,10.0,2025-06-04 03:00:00,5.475,-1.6000004
0 days 03:00:00,47.5,356.5,2025-06-04,10.0,2025-06-04 03:00:00,4.5375,-1.7250004
0 days 03:00:00,47.5,356.75,2025-06-04,10.0,2025-06-04 03:00:00,3.225,-1.6625004
0 days 03:00:00,47.5,357.0,2025-06-04,10.0,2025-06-04 03:00:00,3.225,-2.2250004
0 days 03:00:00,47.5,357.25,2025-06-04,10.0,2025-06-04 03:00:00,3.1,-2.3500004
0 days 03:00:00,47.5,357.5,2025-06-04,10.0,2025-06-04 03:00:00,2.2875,-1.4750004
0 days 03:00:00,47.5,357.75,2025-06-04,10.0,2025-06-04 03:00:00,2.225,-1.2875004
0 days 03:00:00,47.5,358.0,2025-06-04,10.0,2025-06-04 03:00:00,2.6,-1.0375004
0 days 03:00:00,47.5,358.25,2025-06-04,10.0,2025-06-04 03:00:00,3.1,-0.9750004
0 days 03:00:00,47.5,358.5,2025-06-04,10.0,2025-06-04 03:00:00,3.35,0.7749996
0 days 03:00:00,47.5,358.75,2025-06-04,10.0,2025-06-04 03:00:00,3.475,2.8999996
0 days 03:00:00,47.5,359.0,2025-06-04,10.0,2025-06-04 03:00:00,2.6625,3.6499996
0 days 03:00:00,47.5,359.25,2025-06-04,10.0,2025-06-04 03:00:00,1.4125,3.5249996
0 days 03:00:00,47.5,359.5,2025-06-04,10.0,2025-06-04 03:00:00,0.9125,3.6499996
0 days 03:00:00,47.5,359.75,2025-06-04,10.0,2025-06-04 03:00:00,1.1,3.6499996
0 days 03:00:00,47.5,360.0,2025-06-04,10.0,2025-06-04 03:00:00,1.2875,3.6499996
0 days 03:00:00,47.75,0.25,2025-06-04,10.0,2025-06-04 03:00:00,6.725,1.3999996
0 days 03:00:00,47.75,354.25,2025-06-04,10.0,2025-06-04 03:00:00,6.85,1.2749996
0 days 03:00:00,47.75,354.5,2025-06-04,10.0,2025-06-04 03:00:00,6.975,0.7749996
0 days 03:00:00,47.75,354.75,2025-06-04,10.0,2025-06-04 03:00:00,7.1625,0.14999962
0 days 03:00:00,47.75,355.0,2025-06-04,10.0,2025-06-04 03:00:00,6.475,-0.16250038
0 days 03:00:00,47.75,355.25,2025-06-04,10.0,2025-06-04 03:00:00,6.6625,-0.16250038
0 days 03:00:00,47.75,355.5,2025-06-04,10.0,2025-06-04 03:00:00,5.2875,-0.28750038
0 days 03:00:00,47.75,355.75,2025-06-04,10.0,2025-06-04 03:00:00,5.2875,-0.47500038
0 days 03:00:00,47.75,356.0,2025-06-04,10.0,2025-06-04 03:00:00,4.1,-0.7250004
0 days 03:00:00,47.75,356.25,2025-06-04,10.0,2025-06-04 03:00:00,2.9125,-0.7875004
0 days 03:00:00,47.75,356.5,2025-06-04,10.0,2025-06-04 03:00:00,1.5375,0.024999619
0 days 03:00:00,47.75,356.75,2025-06-04,10.0,2025-06-04 03:00:00,1.1625,0.39999962
